"MatchID","Year","Tournament","Round","Time","Result","Player","Nationality_1","Opponent","Nationality_2","Aces","Aces_Diff","Double_Faults","Double_Faults_Diff","First_Serve_Total","First_Serve_Per","First_Serve_Per_Diff","First_Serve_Points_Won_Total","First_Serve_Points_Won_Per","First_Serve_Points_Won_Per_Diff","Second_Serve_Points_Won_Total","Second_Serve_Points_Won_Per","Second_Serve_Points_Won_Per_Diff","Break_Points_Saved_Total","Break_Points_Saved_Per","Break_Points_Saved_Per_Diff","Service_Games_Played","First_Serve_Return_Points_Won_Total","First_Serve_Return_Points_Won_Per","First_Serve_Return_Points_Won_Per_Diff","Second_Serve_Return_Points_Won_Total","Second_Serve_Return_Points_Won_Per","Second_Serve_Return_Points_Won_Per_Diff","Break_Points_Converted_Total","Break_Points_Converted_Per","Break_Points_Converted_Per_Diff","Return_Games_Played","Total_Service_Points_Won_Total","Total_Service_Points_Won_Per","Total_Service_Points_Won_Per_Diff","Total_Return_Points_Won_Total","Total_Return_Points_Won_Per","Total_Return_Points_Won_Per_Diff","Total_Points_Won_Total","Total_Points_Won_Per","Total_Points_Won_Per_Diff"
1,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Novak Djokovic","Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L",NA,NA,"Novak Djokovic","Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Juan Monaco","Argentina","Jurgen Melzer","Austria",3,0,3,0,53,67,19,36,80,28,17,41,-9,5,80,38,9,23,47,28,24,50,-8,7,57,37,8,53,67,16,47,48,16,100,59,18
2,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Jurgen Melzer","Austria","Juan Monaco","Argentina",3,0,3,0,47,48,-19,23,52,-28,24,50,9,7,42,-38,8,36,19,-28,17,58,8,5,20,-37,9,47,51,-16,53,32,-16,100,41,-18
3,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","David Goffin","Belgium","Mackenzie McDonald","United States",1,0,1,-4,37,72,7,27,92,34,10,50,35,3,100,39,7,36,41,34,19,84,34,13,38,38,7,37,81,38,55,56,38,92,66,33
3,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Mackenzie McDonald","United States","David Goffin","Belgium",1,0,5,4,55,65,-7,36,58,-34,19,15,-35,13,61,-39,7,27,7,-34,10,50,-34,3,0,-38,7,55,43,-38,37,18,-38,92,33,-33
4,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Vasek Pospisil","Canada","Gilles Simon","France",7,7,2,0,32,59,2,19,84,12,13,69,26,1,100,25,6,22,27,12,16,56,26,4,25,25,5,32,78,18,38,39,18,70,57,15
4,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Gilles Simon","France","Vasek Pospisil","Canada",0,-7,2,0,38,57,-2,22,72,-12,16,43,-26,4,75,-25,5,19,15,-12,13,30,-26,1,0,-25,6,38,60,-18,32,21,-18,70,42,-15
5,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Milos Raonic","Canada","Jack Sock","United States",8,-4,3,-3,79,58,7,46,84,4,33,57,4,3,66,66,14,42,19,4,39,46,4,2,100,67,14,79,73,6,81,32,6,160,52,5
5,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Jack Sock","United States","Milos Raonic","Canada",12,4,6,3,81,51,-7,42,80,-4,39,53,-4,2,0,-66,14,46,15,-4,33,42,-4,3,33,-67,14,81,67,-6,79,26,-6,160,47,-5
6,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Janko Tipsarevic","Serbia","Sam Querrey","United States",15,-2,0,-5,97,57,5,56,80,-6,41,70,19,6,100,40,16,46,13,-6,41,48,19,5,40,40,15,97,76,6,87,29,6,184,54,9
6,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Sam Querrey","United States","Janko Tipsarevic","Serbia",17,2,5,5,87,52,-5,46,86,6,41,51,-19,5,60,-40,15,56,19,6,41,29,-19,6,0,-40,16,87,70,-6,97,23,-6,184,45,-9
7,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","John Isner","United States","Florian Mayer","Germany",17,14,0,-5,51,68,25,35,82,10,16,75,25,0,0,-60,10,25,28,11,32,50,25,5,40,40,9,51,80,21,57,40,21,108,59,19
7,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Florian Mayer","Germany","John Isner","United States",3,-14,5,5,57,43,-25,25,72,-10,32,50,-25,5,60,60,9,35,17,-11,16,25,-25,0,0,-40,10,57,59,-21,51,19,-21,108,40,-19
8,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Richard Gasquet","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L",NA,NA,"Richard Gasquet","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","David Ferrer","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L",NA,NA,"David Ferrer","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Ryan Harrison","United States","Alexandr Dolgopolov","Ukraine",10,1,3,0,62,61,1,38,84,6,24,70,15,1,100,100,11,41,21,6,27,44,15,1,100,100,11,62,79,10,68,30,10,130,53,7
10,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Alexandr Dolgopolov","Ukraine","Ryan Harrison","United States",9,-1,3,0,68,60,-1,41,78,-6,27,55,-15,1,0,-100,11,38,15,-6,24,29,-15,1,0,-100,11,68,69,-10,62,20,-10,130,46,-7
11,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Dmitry Tursunov","Russian Federation","Martin Klizan","Slovakia",13,1,7,0,102,57,7,59,81,2,43,46,3,7,57,-21,16,62,20,2,60,56,3,14,21,-21,16,102,66,5,122,38,5,224,51,3
11,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Martin Klizan","Slovakia","Dmitry Tursunov","Russian Federation",12,-1,7,0,122,50,-7,62,79,-2,60,43,-3,14,78,21,16,59,18,-2,43,53,-3,7,42,21,16,122,61,-5,102,33,-5,224,48,-3
12,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","James Blake","United States","Jerzy Janowicz","Poland",9,1,3,-2,77,51,-1,40,85,7,37,43,14,5,100,19,10,38,21,6,34,70,14,16,18,18,9,77,64,9,72,44,9,149,55,11
12,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Jerzy Janowicz","Poland","James Blake","United States",8,-1,5,2,72,52,1,38,78,-7,34,29,-14,16,81,-19,9,40,15,-6,37,56,-14,5,0,-18,10,72,55,-9,77,35,-9,149,44,-11
13,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Feliciano Lopez","Spain","Kei Nishikori","Japan",12,7,1,-1,70,48,-19,34,79,10,36,61,7,4,75,15,11,46,30,10,22,45,7,5,40,15,11,70,70,6,68,35,5,138,52,5
13,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Kei Nishikori","Japan","Feliciano Lopez","Spain",5,-7,2,1,68,67,19,46,69,-10,22,54,-7,5,60,-15,11,34,20,-10,36,38,-7,4,25,-15,11,68,64,-6,70,30,-5,138,47,-5
14,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Jeremy Chardy","France","Adrian Mannarino","France",9,7,2,1,47,57,-1,27,85,19,20,55,20,1,0,-73,9,39,33,19,28,64,19,15,26,-74,10,47,72,19,67,46,19,114,57,15
14,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Adrian Mannarino","France","Jeremy Chardy","France",2,-7,1,-1,67,58,1,39,66,-19,28,35,-20,15,73,73,10,27,14,-19,20,45,-19,1,100,74,9,67,53,-19,47,27,-19,114,42,-15
15,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Nikolay Davydenko","Russian Federation","Benoit Paire","France",2,-4,0,-6,91,74,27,68,70,0,23,47,-9,6,83,17,11,34,29,0,37,43,-9,6,33,17,10,91,64,1,71,36,1,162,52,5
15,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Benoit Paire","France","Nikolay Davydenko","Russian Federation",6,4,6,6,71,47,-27,34,70,0,37,56,9,6,66,-17,10,68,29,0,23,52,9,6,16,-17,11,71,63,-1,91,35,-1,162,47,-5
16,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Juan Martin Del Potro","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L",NA,NA,"Juan Martin Del Potro","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Roger Federer","Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L",NA,NA,"Roger Federer","Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Philipp Kohlschreiber","Germany","Mardy Fish","United States",7,5,3,0,56,50,-1,28,92,32,28,57,19,4,75,33,10,33,39,32,31,61,19,7,57,32,10,56,75,25,64,50,25,120,61,23
18,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Mardy Fish","United States","Philipp Kohlschreiber","Germany",2,-5,3,0,64,51,1,33,60,-32,31,38,-19,7,42,-33,10,28,7,-32,28,42,-19,4,25,-32,10,64,50,-25,56,25,-25,120,38,-23
19,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Marcel Granollers","Spain","Lukas Rosol","Czech Republic",4,-2,2,0,84,65,9,55,69,-7,29,58,20,5,60,16,14,47,23,-7,36,61,20,9,55,15,14,84,65,5,83,39,5,167,52,5
19,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Lukas Rosol","Czech Republic","Marcel Granollers","Spain",6,2,2,0,83,56,-9,47,76,7,36,38,-20,9,44,-16,14,55,30,7,29,41,-20,5,40,-15,14,83,60,-5,84,34,-5,167,47,-5
20,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Tommy Haas","Germany","Kevin Anderson","South Africa",4,-3,2,1,55,63,-3,35,82,9,20,70,6,0,0,-50,10,34,26,9,17,35,5,4,50,50,10,55,78,8,51,29,8,106,54,9
20,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Kevin Anderson","South Africa","Tommy Haas","Germany",7,3,1,-1,51,66,3,34,73,-9,17,64,-6,4,50,50,10,35,17,-9,20,30,-5,0,0,-50,10,51,70,-8,55,21,-8,106,45,-9
21,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Grigor Dimitrov","Bulgaria","Nicolas Almagro","Spain",19,13,2,-1,71,63,13,45,84,2,26,38,-3,3,66,33,11,35,17,2,34,58,-3,3,66,33,11,71,67,5,69,37,5,140,52,5
21,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Nicolas Almagro","Spain","Grigor Dimitrov","Bulgaria",6,-13,3,1,69,50,-13,35,82,-2,34,41,3,3,33,-33,11,45,15,-2,26,61,3,3,33,-33,11,69,62,-5,71,32,-5,140,47,-5
22,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Brian Baker","United States","Denis Istomin","Uzbekistan",9,4,2,-2,63,71,19,45,80,12,18,38,-2,5,80,20,10,38,31,11,35,60,-1,10,40,20,11,63,68,14,73,45,14,136,55,11
22,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Denis Istomin","Uzbekistan","Brian Baker","United States",5,-4,4,2,73,52,-19,38,68,-12,35,40,2,10,60,-20,11,45,20,-11,18,61,1,5,20,-20,10,73,54,-14,63,31,-14,136,44,-11
23,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Benjamin Becker","Germany","Pablo Andujar","Spain",5,5,2,0,46,47,-8,22,95,33,24,62,8,0,0,-66,9,27,37,33,22,45,8,9,33,33,8,46,78,19,49,40,19,95,58,17
23,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Pablo Andujar","Spain","Benjamin Becker","Germany",0,-5,2,0,49,55,8,27,62,-33,22,54,-8,9,66,66,8,22,4,-33,24,37,-8,0,0,-33,9,49,59,-19,46,21,-19,95,41,-17
24,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Rafael Nadal","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L",NA,NA,"Rafael Nadal","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Tomas Berdych","Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L",NA,NA,"Tomas Berdych","Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Jarkko Nieminen","Finland","Edouard Roger-Vasselin","France",4,2,2,1,74,55,-12,41,68,0,33,54,-10,9,88,38,10,29,31,0,14,35,-10,6,50,39,9,74,62,-5,43,32,-5,117,51,3
26,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Edouard Roger-Vasselin","France","Jarkko Nieminen","Finland",2,-2,1,-1,43,67,12,29,68,0,14,64,10,6,50,-38,9,41,31,0,33,45,10,9,11,-39,10,43,67,5,74,37,5,117,48,-3
27,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Tommy Robredo","Spain","Thomaz Bellucci","Brazil",11,6,5,0,101,53,3,54,90,19,47,53,-5,6,83,26,16,56,28,19,56,41,-5,7,42,26,16,101,73,8,112,34,8,213,53,7
27,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Thomaz Bellucci","Brazil","Tommy Robredo","Spain",5,-6,5,0,112,50,-3,56,71,-19,56,58,5,7,57,-26,16,54,9,-19,47,46,5,6,16,-26,16,112,65,-8,101,26,-8,213,46,-7
28,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Stan Wawrinka","Switzerland","Andreas Seppi","Italy",8,3,3,-2,52,61,11,32,90,15,20,60,22,0,0,-83,10,36,25,16,36,61,21,12,16,16,9,52,78,22,72,43,22,124,58,17
28,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Andreas Seppi","Italy","Stan Wawrinka","Switzerland",5,-3,5,2,72,50,-11,36,75,-15,36,38,-22,12,83,83,9,32,9,-16,20,40,-21,0,0,-16,10,72,56,-22,52,21,-22,124,41,-17
29,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Radek Stepanek","Czech Republic","Fabio Fognini","Italy",4,3,3,-3,50,64,11,32,71,29,18,33,8,6,33,-3,9,28,57,29,24,75,9,11,63,-3,9,50,58,24,52,65,23,102,61,23
29,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Fabio Fognini","Italy","Radek Stepanek","Czech Republic",1,-3,6,3,52,53,-11,28,42,-29,24,25,-8,11,36,3,9,32,28,-29,18,66,-9,6,66,3,9,52,34,-24,50,42,-23,102,38,-23
30,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Julien Benneteau","France","Marcos Baghdatis","Cyprus",2,-2,4,-4,57,57,11,33,75,7,24,54,23,5,80,38,9,25,32,8,29,68,23,7,57,37,8,57,66,18,54,51,18,111,59,19
30,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Marcos Baghdatis","Cyprus","Julien Benneteau","France",4,2,8,4,54,46,-11,25,68,-7,29,31,-23,7,42,-38,8,33,24,-8,24,45,-23,5,20,-37,9,54,48,-18,57,33,-18,111,40,-19
31,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Mikhail Youzhny","Russian Federation","Ernests Gulbis","Latvia",7,3,0,-2,65,67,14,44,77,0,21,66,15,3,100,67,11,31,22,0,27,48,15,3,66,66,10,65,73,8,58,34,8,123,55,11
31,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Ernests Gulbis","Latvia","Mikhail Youzhny","Russian Federation",4,-3,2,2,58,53,-14,31,77,0,27,51,-15,3,33,-67,10,44,22,0,21,33,-15,3,0,-66,11,58,65,-8,65,26,-8,123,44,-11
32,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Andy Murray","Great Britain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L",NA,NA,"Andy Murray","Great Britain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"W","Novak Djokovic","Serbia","Juan Monaco","Argentina",5,3,2,0,51,58,0,30,73,16,21,66,26,2,0,-37,10,35,42,16,25,60,27,8,62,-38,10,51,70,20,60,50,21,111,59,19
33,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"L","Juan Monaco","Argentina","Novak Djokovic","Serbia",2,-3,2,0,60,58,0,35,57,-16,25,40,-26,8,37,37,10,30,26,-16,21,33,-27,2,100,38,10,60,50,-20,51,29,-21,111,40,-19
34,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"W","David Goffin","Belgium","Vasek Pospisil","Canada",1,-12,9,4,118,52,-6,62,64,-12,56,50,7,16,75,13,15,65,23,-12,46,56,6,8,37,12,16,118,57,-6,111,36,-6,229,47,-5
34,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"L","Vasek Pospisil","Canada","David Goffin","Belgium",13,12,5,-4,111,58,6,65,76,12,46,43,-7,8,62,-13,16,62,35,12,56,50,-6,16,25,-12,15,111,63,6,118,42,6,229,52,5
35,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"W","Milos Raonic","Canada","Janko Tipsarevic","Serbia",13,9,2,1,70,71,8,50,86,15,20,55,-1,3,100,15,11,53,28,14,30,43,-2,7,14,14,11,70,77,11,83,33,11,153,53,7
35,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"L","Janko Tipsarevic","Serbia","Milos Raonic","Canada",4,-9,1,-1,83,63,-8,53,71,-15,30,56,1,7,85,-15,11,50,14,-14,20,45,2,3,0,-14,11,83,66,-11,70,22,-11,153,46,-7
36,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"W","John Isner","United States","Richard Gasquet","France",10,6,2,-2,66,54,8,36,91,21,30,53,-11,1,100,40,10,30,30,22,34,35,-11,5,40,40,10,66,74,7,64,32,7,130,53,7
36,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"L","Richard Gasquet","France","John Isner","United States",4,-6,4,2,64,46,-8,30,70,-21,34,64,11,5,60,-40,10,36,8,-22,30,46,11,1,0,-40,10,64,67,-7,66,25,-7,130,46,-7
37,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"W","David Ferrer","Spain","Ryan Harrison","United States",2,-3,3,-9,108,64,10,70,64,-7,38,60,17,10,70,-14,15,77,28,-7,65,56,17,19,15,-15,16,108,62,4,142,41,4,250,50,1
37,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"L","Ryan Harrison","United States","David Ferrer","Spain",5,3,12,9,142,54,-10,77,71,7,65,43,-17,19,84,14,16,70,35,7,38,39,-17,10,30,15,15,142,58,-4,108,37,-4,250,49,-1
38,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"W","Dmitry Tursunov","Russian Federation","James Blake","United States",11,7,0,-2,60,66,18,40,82,15,20,45,0,1,0,-70,10,40,32,15,42,54,-1,10,30,-70,10,60,70,14,82,43,13,142,54,9
38,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"L","James Blake","United States","Dmitry Tursunov","Russian Federation",4,-7,2,2,82,48,-18,40,67,-15,42,45,0,10,70,70,10,40,17,-15,20,55,1,1,100,70,10,82,56,-14,60,30,-13,142,45,-9
39,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"W","Feliciano Lopez","Spain","Jeremy Chardy","France",2,-1,4,3,44,47,-18,21,71,6,23,60,7,5,80,14,7,29,34,6,15,46,7,6,33,13,7,44,65,4,44,38,4,88,52,5
39,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"L","Jeremy Chardy","France","Feliciano Lopez","Spain",3,1,1,-3,44,65,18,29,65,-6,15,53,-7,6,66,-14,7,21,28,-6,23,39,-7,5,20,-13,7,44,61,-4,44,34,-4,88,47,-5
40,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"W","Juan Martin Del Potro","Argentina","Nikolay Davydenko","Russian Federation",4,1,2,1,64,67,-13,43,69,17,21,52,9,5,40,-4,12,65,47,17,16,56,9,9,55,-5,12,64,64,14,81,49,14,145,55,11
40,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"L","Nikolay Davydenko","Russian Federation","Juan Martin Del Potro","Argentina",3,-1,1,-1,81,80,13,65,52,-17,16,43,-9,9,44,4,12,43,30,-17,21,47,-9,5,60,5,12,81,50,-14,64,35,-14,145,44,-11
41,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"W","Roger Federer","Switzerland","Philipp Kohlschreiber","Germany",8,3,1,-3,62,61,11,38,86,14,24,62,15,1,0,-81,11,43,27,14,42,52,15,11,18,-82,10,62,77,17,85,40,18,147,55,11
41,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"L","Philipp Kohlschreiber","Germany","Roger Federer","Switzerland",5,-3,4,3,85,50,-11,43,72,-14,42,47,-15,11,81,81,10,38,13,-14,24,37,-15,1,100,82,11,85,60,-17,62,22,-18,147,44,-11
42,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"W","Tommy Haas","Germany","Marcel Granollers","Spain",5,2,3,-2,55,60,2,33,87,30,22,50,7,2,100,43,9,33,42,30,23,56,6,7,42,42,8,55,72,21,56,48,21,111,60,21
42,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"L","Marcel Granollers","Spain","Tommy Haas","Germany",3,-2,5,2,56,58,-2,33,57,-30,23,43,-7,7,57,-43,8,33,12,-30,22,50,-6,2,0,-42,9,56,51,-21,55,27,-21,111,39,-21
43,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"W","Grigor Dimitrov","Bulgaria","Brian Baker","United States",11,10,1,-6,49,71,19,35,80,24,14,50,11,1,0,-42,9,25,44,24,23,60,10,7,57,-43,8,49,71,24,48,52,24,97,61,23
43,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"L","Brian Baker","United States","Grigor Dimitrov","Bulgaria",1,-10,7,6,48,52,-19,25,56,-24,23,39,-11,7,42,42,8,35,20,-24,14,50,-10,1,100,43,9,48,47,-24,49,28,-24,97,38,-23
44,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"W","Rafael Nadal","Spain","Benjamin Becker","Germany",3,1,1,-1,42,52,0,22,95,29,20,60,26,2,100,34,8,36,33,29,32,65,25,12,33,33,8,42,78,27,68,48,27,110,60,20
44,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"L","Benjamin Becker","Germany","Rafael Nadal","Spain",2,-1,2,1,68,52,0,36,66,-29,32,34,-26,12,66,-34,8,22,4,-29,20,40,-25,2,0,-33,8,68,51,-27,42,21,-27,110,40,-20
45,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"W","Tomas Berdych","Czech Republic","Jarkko Nieminen","Finland",8,8,3,-2,51,39,-11,20,90,33,31,58,22,3,66,16,9,26,42,32,25,64,23,8,50,17,8,51,70,23,51,52,23,102,61,23
45,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"L","Jarkko Nieminen","Finland","Tomas Berdych","Czech Republic",0,-8,5,2,51,50,11,26,57,-33,25,36,-22,8,50,-16,8,20,10,-32,31,41,-23,3,33,-17,9,51,47,-23,51,29,-23,102,38,-23
46,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"W","Tommy Robredo","Spain","Stan Wawrinka","Switzerland",7,-4,4,0,102,64,10,66,69,-10,36,50,17,4,50,-20,15,54,20,-10,45,66,16,10,30,-20,15,102,62,4,99,41,4,201,52,5
46,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"L","Stan Wawrinka","Switzerland","Tommy Robredo","Spain",11,4,4,0,99,54,-10,54,79,10,45,33,-17,10,70,20,15,66,30,10,36,50,-16,4,50,20,15,99,58,-4,102,37,-4,201,47,-5
47,2013,"ATP World Tour Masters 1000 Cincinnati",32,NA,"W","Julien Benneteau","France","Radek Stepanek","Czech Republic",16,11,6,0,120,63,-4,76,68,2,44,45,4,11,63,47,16,75,33,2,36,58,4,6,83,47,16,120,60,2,111,41,1,231,51,3
